ObservationDate,Shorthand,From,To,Price
22/01/2009,Q3_09,01/07/2009,30/09/2009,0.4355
22/01/2009,Q4_09,01/10/2009,31/12/2009,0.5485
22/01/2009,Q1_10,01/01/2010,31/03/2010,0.6185
22/01/2009,Q2_10,01/04/2010,30/06/2010,0.505
22/01/2009,Q3_10,01/07/2010,30/09/2010,0.482
22/01/2009,Q4_10,01/10/2010,31/12/2010,0.5825
22/01/2009,Q1_11,01/01/2011,31/03/2011,0.6555
22/01/2009,Q2_11,01/04/2011,30/06/2011,0.533
22/01/2009,Q3_11,01/07/2011,30/09/2011,0.51
22/01/2009,Q4_11,01/10/2011,31/12/2011,0.615
22/01/2009,Q1_12,01/01/2012,31/03/2012,0.691
22/01/2009,Q2_12,01/04/2012,30/06/2012,0.561
22/01/2009,Q3_12,01/07/2012,30/09/2012,0.538
22/01/2009,Q4_12,01/10/2012,31/12/2012,0.635
22/01/2009,Q1_13,01/01/2013,31/03/2013,0.713
22/01/2009,Q2_13,01/04/2013,30/06/2013,0.5795
22/01/2009,Q3_13,01/07/2013,30/09/2013,0.5565
22/01/2009,Q4_13,01/10/2013,31/12/2013,0.649
22/01/2009,Q1_14,01/01/2014,31/03/2014,0.727
22/01/2009,Q2_14,01/04/2014,30/06/2014,0.5905
23/01/2009,Q2_09,01/04/2009,30/06/2009,0.4745
23/01/2009,Q3_09,01/07/2009,30/09/2009,0.4555
23/01/2009,Q4_09,01/10/2009,31/12/2009,0.5625
23/01/2009,Q1_10,01/01/2010,31/03/2010,0.6365
23/01/2009,Q2_10,01/04/2010,30/06/2010,0.5195
23/01/2009,Q3_10,01/07/2010,30/09/2010,0.4965
23/01/2009,Q4_10,01/10/2010,31/12/2010,0.59
23/01/2009,Q1_11,01/01/2011,31/03/2011,0.667
23/01/2009,Q2_11,01/04/2011,30/06/2011,0.5525
23/01/2009,Q3_11,01/07/2011,30/09/2011,0.5295
23/01/2009,Q4_11,01/10/2011,31/12/2011,0.636
23/01/2009,Q1_12,01/01/2012,31/03/2012,0.714
23/01/2009,Q2_12,01/04/2012,30/06/2012,0.5915
23/01/2009,Q3_12,01/07/2012,30/09/2012,0.5685
23/01/2009,Q4_12,01/10/2012,31/12/2012,0.6635
23/01/2009,Q1_13,01/01/2013,31/03/2013,0.7425
23/01/2009,Q2_13,01/04/2013,30/06/2013,0.611
23/01/2009,Q3_13,01/07/2013,30/09/2013,0.588
23/01/2009,Q4_13,01/10/2013,31/12/2013,0.6785
23/01/2009,Q1_14,01/01/2014,31/03/2014,0.7575
23/01/2009,Q2_14,01/04/2014,30/06/2014,0.622
26/01/2009,Q2_09,01/04/2009,30/06/2009,0.47575
26/01/2009,Q3_09,01/07/2009,30/09/2009,0.4515
26/01/2009,Q4_09,01/10/2009,31/12/2009,0.5705
26/01/2009,Q1_10,01/01/2010,31/03/2010,0.6445
26/01/2009,Q2_10,01/04/2010,30/06/2010,0.524
26/01/2009,Q3_10,01/07/2010,30/09/2010,0.501
26/01/2009,Q4_10,01/10/2010,31/12/2010,0.5925
26/01/2009,Q1_11,01/01/2011,31/03/2011,0.6695
26/01/2009,Q2_11,01/04/2011,30/06/2011,0.561
26/01/2009,Q3_11,01/07/2011,30/09/2011,0.538
26/01/2009,Q4_11,01/10/2011,31/12/2011,0.641
26/01/2009,Q1_12,01/01/2012,31/03/2012,0.719
26/01/2009,Q2_12,01/04/2012,30/06/2012,0.59
26/01/2009,Q3_12,01/07/2012,30/09/2012,0.567
26/01/2009,Q4_12,01/10/2012,31/12/2012,0.6635
26/01/2009,Q1_13,01/01/2013,31/03/2013,0.7425
26/01/2009,Q2_13,01/04/2013,30/06/2013,0.611
26/01/2009,Q3_13,01/07/2013,30/09/2013,0.588
26/01/2009,Q4_13,01/10/2013,31/12/2013,0.6785
26/01/2009,Q1_14,01/01/2014,31/03/2014,0.7575
26/01/2009,Q2_14,01/04/2014,30/06/2014,0.622
27/01/2009,Q2_09,01/04/2009,30/06/2009,0.48025
27/01/2009,Q3_09,01/07/2009,30/09/2009,0.453
27/01/2009,Q4_09,01/10/2009,31/12/2009,0.567
27/01/2009,Q1_10,01/01/2010,31/03/2010,0.646
27/01/2009,Q2_10,01/04/2010,30/06/2010,0.5255
27/01/2009,Q3_10,01/07/2010,30/09/2010,0.5025
27/01/2009,Q4_10,01/10/2010,31/12/2010,0.5975
27/01/2009,Q1_11,01/01/2011,31/03/2011,0.6745
27/01/2009,Q2_11,01/04/2011,30/06/2011,0.558
27/01/2009,Q3_11,01/07/2011,30/09/2011,0.535
27/01/2009,Q4_11,01/10/2011,31/12/2011,0.6435
27/01/2009,Q1_12,01/01/2012,31/03/2012,0.7215
27/01/2009,Q2_12,01/04/2012,30/06/2012,0.593
27/01/2009,Q3_12,01/07/2012,30/09/2012,0.57
27/01/2009,Q4_12,01/10/2012,31/12/2012,0.6655
27/01/2009,Q1_13,01/01/2013,31/03/2013,0.7445
27/01/2009,Q2_13,01/04/2013,30/06/2013,0.613
27/01/2009,Q3_13,01/07/2013,30/09/2013,0.59
27/01/2009,Q4_13,01/10/2013,31/12/2013,0.6795
27/01/2009,Q1_14,01/01/2014,31/03/2014,0.7585
27/01/2009,Q2_14,01/04/2014,30/06/2014,0.623
28/01/2009,Q2_09,01/04/2009,30/06/2009,0.49
28/01/2009,Q3_09,01/07/2009,30/09/2009,0.453
28/01/2009,Q4_09,01/10/2009,31/12/2009,0.5705
28/01/2009,Q1_10,01/01/2010,31/03/2010,0.6495
28/01/2009,Q2_10,01/04/2010,30/06/2010,0.5225
28/01/2009,Q3_10,01/07/2010,30/09/2010,0.4995
28/01/2009,Q4_10,01/10/2010,31/12/2010,0.598
28/01/2009,Q1_11,01/01/2011,31/03/2011,0.675
28/01/2009,Q2_11,01/04/2011,30/06/2011,0.5545
28/01/2009,Q3_11,01/07/2011,30/09/2011,0.5315
28/01/2009,Q4_11,01/10/2011,31/12/2011,0.644
28/01/2009,Q1_12,01/01/2012,31/03/2012,0.722
28/01/2009,Q2_12,01/04/2012,30/06/2012,0.5915
28/01/2009,Q3_12,01/07/2012,30/09/2012,0.5685
28/01/2009,Q4_12,01/10/2012,31/12/2012,0.6655
28/01/2009,Q1_13,01/01/2013,31/03/2013,0.7445
28/01/2009,Q2_13,01/04/2013,30/06/2013,0.613
28/01/2009,Q3_13,01/07/2013,30/09/2013,0.59
28/01/2009,Q4_13,01/10/2013,31/12/2013,0.6795
28/01/2009,Q1_14,01/01/2014,31/03/2014,0.7585
28/01/2009,Q2_14,01/04/2014,30/06/2014,0.623
29/01/2009,Q2_09,01/04/2009,30/06/2009,0.496
29/01/2009,Q3_09,01/07/2009,30/09/2009,0.46
29/01/2009,Q3_09,01/10/2009,31/12/2009,0.5765
29/01/2009,Q1_10,01/01/2010,31/03/2010,0.6555
29/01/2009,Q2_10,01/04/2010,30/06/2010,0.528
29/01/2009,Q3_10,01/07/2010,30/09/2010,0.505
29/01/2009,Q4_10,01/10/2010,31/12/2010,0.6005
29/01/2009,Q1_11,01/01/2011,31/03/2011,0.6775
29/01/2009,Q2_11,01/04/2011,30/06/2011,0.559
29/01/2009,Q3_11,01/07/2011,30/09/2011,0.536
29/01/2009,Q4_11,01/10/2011,31/12/2011,0.6445
29/01/2009,Q1_12,01/01/2012,31/03/2012,0.7225
29/01/2009,Q2_12,01/04/2012,30/06/2012,0.5955
29/01/2009,Q3_12,01/07/2012,30/09/2012,0.5725
29/01/2009,Q4_12,01/10/2012,31/12/2012,0.667
29/01/2009,Q1_13,01/01/2013,31/03/2013,0.746
29/01/2009,Q2_13,01/04/2013,30/06/2013,0.6145
29/01/2009,Q3_13,01/07/2013,30/09/2013,0.5915
29/01/2009,Q4_13,01/10/2013,31/12/2013,0.6805
29/01/2009,Q1_14,01/01/2014,31/03/2014,0.7595
29/01/2009,Q2_14,01/04/2014,30/06/2014,0.624
30/01/2009,Q2_09,01/04/2009,30/06/2009,0.4945
30/01/2009,Q3_09,01/07/2009,30/09/2009,0.4595
30/01/2009,Q4_09,01/10/2009,31/12/2009,0.5805
30/01/2009,Q1_10,01/01/2010,31/03/2010,0.6595
30/01/2009,Q2_10,01/04/2010,30/06/2010,0.532
30/01/2009,Q3_10,01/07/2010,30/09/2010,0.509
30/01/2009,Q4_10,01/10/2010,31/12/2010,0.6025
30/01/2009,Q1_11,01/01/2011,31/03/2011,0.6795
30/01/2009,Q2_11,01/04/2011,30/06/2011,0.559
30/01/2009,Q3_11,01/07/2011,30/09/2011,0.536
30/01/2009,Q4_11,01/10/2011,31/12/2011,0.6445
30/01/2009,Q1_12,01/01/2012,31/03/2012,0.7225
30/01/2009,Q2_12,01/04/2012,30/06/2012,0.597
30/01/2009,Q3_12,01/07/2012,30/09/2012,0.574
30/01/2009,Q4_12,01/10/2012,31/12/2012,0.6675
30/01/2009,Q1_13,01/01/2013,31/03/2013,0.7465
30/01/2009,Q2_13,01/04/2013,30/06/2013,0.6155
30/01/2009,Q3_13,01/07/2013,30/09/2013,0.5925
30/01/2009,Q4_13,01/10/2013,31/12/2013,0.6805
30/01/2009,Q1_14,01/01/2014,31/03/2014,0.7595
30/01/2009,Q2_14,01/04/2014,30/06/2014,0.6245
02/02/2009,Q2_09,01/04/2009,30/06/2009,0.481
02/02/2009,Q3_09,01/07/2009,30/09/2009,0.445
